station_id	station_code	station_name	datetime	name	value
29614	VAGEOTR	Otra	2017-09-11T08:31:00Z	a254	9.15
29614	VAGEOTR	Otra	2017-09-11T08:31:00Z	a365	2
29614	VAGEOTR	Otra	2017-09-11T08:31:00Z	SUVA_254	54.62
29614	VAGEOTR	Otra	2017-09-11T08:31:00Z	E2_E3	4.7
29614	VAGEOTR	Otra	2017-10-09T12:45:00Z	TOC_mg_L	4.1
29614	VAGEOTR	Otra	2017-10-09T12:45:00Z	a250	8.59
29614	VAGEOTR	Otra	2017-10-09T12:45:00Z	a254	8.35
29614	VAGEOTR	Otra	2017-10-09T12:45:00Z	a365	1.87
29614	VAGEOTR	Otra	2017-10-09T12:45:00Z	SUVA_254	49.09
29614	VAGEOTR	Otra	2017-10-09T12:45:00Z	E2_E3	4.58
29614	VAGEOTR	Otra	2017-10-26T19:10:00Z	TOC_mg_L	6
29614	VAGEOTR	Otra	2017-10-26T19:10:00Z	a250	12.52
29614	VAGEOTR	Otra	2017-10-26T19:10:00Z	a254	12.16
29614	VAGEOTR	Otra	2017-10-26T19:10:00Z	a365	2.79
29614	VAGEOTR	Otra	2017-10-26T19:10:00Z	SUVA_254	49.34
29614	VAGEOTR	Otra	2017-10-26T19:10:00Z	E2_E3	4.48
29614	VAGEOTR	Otra	2017-11-06T10:32:00Z	TOC_mg_L	3.9
29614	VAGEOTR	Otra	2017-11-06T10:32:00Z	a250	7.93
29614	VAGEOTR	Otra	2017-11-06T10:32:00Z	a254	7.71
29614	VAGEOTR	Otra	2017-11-06T10:32:00Z	a365	1.73
29614	VAGEOTR	Otra	2017-11-06T10:32:00Z	SUVA_254	50.56
29614	VAGEOTR	Otra	2017-11-06T10:32:00Z	E2_E3	4.57
29614	VAGEOTR	Otra	2017-12-06T08:05:00Z	TOC_mg_L	3
29614	VAGEOTR	Otra	2017-12-06T08:05:00Z	a250	5.81
29614	VAGEOTR	Otra	2017-12-06T08:05:00Z	a254	5.66
29614	VAGEOTR	Otra	2017-12-06T08:05:00Z	a365	1.27
29614	VAGEOTR	Otra	2017-12-06T08:05:00Z	SUVA_254	53.03
29614	VAGEOTR	Otra	2017-12-06T08:05:00Z	E2_E3	4.57
29615	VESENUM	Numedalslagen	2017-01-23T09:00:00Z	TOC_mg_L	2.8
29615	VESENUM	Numedalslagen	2017-01-23T09:00:00Z	a250	4.87
29615	VESENUM	Numedalslagen	2017-01-23T09:00:00Z	a254	4.73
29615	VESENUM	Numedalslagen	2017-01-23T09:00:00Z	a365	0.97
29615	VESENUM	Numedalslagen	2017-01-23T09:00:00Z	SUVA_254	59.23
29615	VESENUM	Numedalslagen	2017-01-23T09:00:00Z	E2_E3	5.03
29615	VESENUM	Numedalslagen	2017-02-06T10:30:00Z	TOC_mg_L	2.4
29615	VESENUM	Numedalslagen	2017-02-06T10:30:00Z	a250	4.1
29615	VESENUM	Numedalslagen	2017-02-06T10:30:00Z	a254	3.98
29615	VESENUM	Numedalslagen	2017-02-06T10:30:00Z	a365	0.81
29615	VESENUM	Numedalslagen	2017-02-06T10:30:00Z	SUVA_254	60.25
29615	VESENUM	Numedalslagen	2017-02-06T10:30:00Z	E2_E3	5.08
29615	VESENUM	Numedalslagen	2017-03-06T11:00:00Z	TOC_mg_L	3.2
29615	VESENUM	Numedalslagen	2017-03-06T11:00:00Z	a250	5.59
29615	VESENUM	Numedalslagen	2017-03-06T11:00:00Z	a254	5.41
29615	VESENUM	Numedalslagen	2017-03-06T11:00:00Z	a365	1.09
29615	VESENUM	Numedalslagen	2017-03-06T11:00:00Z	SUVA_254	59.13
29615	VESENUM	Numedalslagen	2017-03-06T11:00:00Z	E2_E3	5.11
29615	VESENUM	Numedalslagen	2017-04-03T08:30:00Z	TOC_mg_L	5.1
29615	VESENUM	Numedalslagen	2017-04-03T08:30:00Z	a250	10.16
29615	VESENUM	Numedalslagen	2017-04-03T08:30:00Z	a254	9.85
29615	VESENUM	Numedalslagen	2017-04-03T08:30:00Z	a365	2.13
29615	VESENUM	Numedalslagen	2017-04-03T08:30:00Z	SUVA_254	51.76
29615	VESENUM	Numedalslagen	2017-04-03T08:30:00Z	E2_E3	4.76
29615	VESENUM	Numedalslagen	2017-05-02T11:00:00Z	TOC_mg_L	4.6
29615	VESENUM	Numedalslagen	2017-05-02T11:00:00Z	a250	8.02
29615	VESENUM	Numedalslagen	2017-05-02T11:00:00Z	a254	7.77
29615	VESENUM	Numedalslagen	2017-05-02T11:00:00Z	a365	1.58
29615	VESENUM	Numedalslagen	2017-05-02T11:00:00Z	SUVA_254	59.22
29615	VESENUM	Numedalslagen	2017-05-02T11:00:00Z	E2_E3	5.07
29615	VESENUM	Numedalslagen	2017-06-06T13:00:00Z	TOC_mg_L	3.8
29615	VESENUM	Numedalslagen	2017-06-06T13:00:00Z	a250	6.23
29615	VESENUM	Numedalslagen	2017-06-06T13:00:00Z	a254	6.06
29615	VESENUM	Numedalslagen	2017-06-06T13:00:00Z	a365	1.28
29615	VESENUM	Numedalslagen	2017-06-06T13:00:00Z	SUVA_254	62.75
29615	VESENUM	Numedalslagen	2017-06-06T13:00:00Z	E2_E3	4.88
29615	VESENUM	Numedalslagen	2017-07-03T10:15:00Z	TOC_mg_L	3.5
29615	VESENUM	Numedalslagen	2017-07-03T10:15:00Z	a250	6.26
29615	VESENUM	Numedalslagen	2017-07-03T10:15:00Z	a254	6.08
29615	VESENUM	Numedalslagen	2017-07-03T10:15:00Z	a365	1.24
29615	VESENUM	Numedalslagen	2017-07-03T10:15:00Z	SUVA_254	57.59
29615	VESENUM	Numedalslagen	2017-07-03T10:15:00Z	E2_E3	5.05
29615	VESENUM	Numedalslagen	2017-08-07T11:00:00Z	TOC_mg_L	3.2
29615	VESENUM	Numedalslagen	2017-08-07T11:00:00Z	a250	5.89
29615	VESENUM	Numedalslagen	2017-08-07T11:00:00Z	a254	5.72
29615	VESENUM	Numedalslagen	2017-08-07T11:00:00Z	a365	1.14
29615	VESENUM	Numedalslagen	2017-08-07T11:00:00Z	SUVA_254	55.97
29615	VESENUM	Numedalslagen	2017-08-07T11:00:00Z	E2_E3	5.15
29615	VESENUM	Numedalslagen	2017-09-05T14:30:00Z	TOC_mg_L	3.2
29615	VESENUM	Numedalslagen	2017-09-05T14:30:00Z	a250	5.85
29615	VESENUM	Numedalslagen	2017-09-05T14:30:00Z	a254	5.68
29615	VESENUM	Numedalslagen	2017-09-05T14:30:00Z	a365	1.16
29615	VESENUM	Numedalslagen	2017-09-05T14:30:00Z	SUVA_254	56.33
29615	VESENUM	Numedalslagen	2017-09-05T14:30:00Z	E2_E3	5.05
