Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29848	TROEML	Målselv	12.06.2017 19:20	622.336	7.41	5.48	6.7	21.6	1.6	22	27	30	<2	136	3.129								
29848	TROEML	Målselv	03.07.2017 19:30	383.28	7.54	5.47	2.1	6.8	1	5	8	20	<2	75	2.124								
29848	TROEML	Målselv	06.08.2017 18:30	206.177	7.64	6.42	0.76	4.17	0.93	1	1	19	<2	69	2.049	0.041	0.027	<0.003	0.43	0.28	0.38	0.12	
29848	TROEML	Målselv	11.09.2017 13:50	66.639	7.65	8.35	<0.3	0.4	0.93	2	4	21	<2	91	2.293								
29848	TROEML	Målselv	02.10.2017 16:15	37.85	7.83	8.51	<0.3	1.04	0.83	2	2	35	<2	39	2.443	0.038	0.027	<0.003	0.38	0.28	0.32	0.084	
29848	TROEML	Målselv	05.11.2017 11:45	56.999	7.81	8.73	<0.3	0.81	1.2	2	3	56	4	140	2.829								
29848	TROEML	Målselv	04.12.2017 13:30	27.949	7.8	9.48	<0.3	<0.2	0.79	1	2	75	8	134	2.979								
38005	TROEML2	Målselv	12.02.2018 14:00	30.786	7.36	6.89	0.34	0.79	0.89	<1	2	72	13	160	2.55								
38005	TROEML2	Målselv	05.03.2018 13:30	25.919	7.5	6.35	0.91	1.39	1	<1	2	60	3	148	2.379								
38005	TROEML2	Målselv	03.04.2018 15:50	22.558	7.5	6.1	0.48	0.9	0.96	<1	2	66	7	185	2.293								
38005	TROEML2	Målselv	07.05.2018 10:15	196.982	7.43	6.41	12	19.4	3.5	19	27	45	<2	230	3.364								
38005	TROEML2	Målselv	04.06.2018	389.719	7.63	6.58	1.8	5.83	1	5	4	30	<2	110	1.989								
38005	TROEML2	Målselv	02.07.2018 15:00	323.386	7.7	7.69	0.47	1.63	1.2	3	2	44	<2	78	2.055								
38005	TROEML2	Målselv	13.08.2018 09:30	154.415	7.69	7.67	1.3	3.74	1.2	7	20	20	3	84	2.143								
38005	TROEML2	Målselv	04.09.2018 12:45	96.613	7.79	8.25	0.43	0.86	0.95	<1	3	27	5	68	1.922								
38005	TROEML2	Målselv	01.10.2018 12:00	115.661	7.81	9.18	0.51	0.77	1.6	<1	3	67	3	130	2.486								
38005	TROEML2	Målselv	05.11.2018 12:45	95.339	7.67	8.31	0.57	0.96	1	<1	2	68	3	150	2.593								
38005	TROEML2	Målselv	03.12.2018 11:30	86.2	7.66	8.57	0.48	0.77	1.1	2	3	97	12	160	2.743								
29842	SFJENAU	Nausta	31.01.2017 09:35	25.328	5.95	1.98	<0.3	0.22	1.2	1	3	91	<2	146	1.213								
29842	SFJENAU	Nausta	06.02.2017 14:10	20.835	6.06	1.95	<0.3	0.42	1.3	1	3	76	<2	129	1.264	0.032	0.043	0.006	0.14	1.1	0.088	0.033	
29842	SFJENAU	Nausta	13.03.2017 11:00	14.674	6.36	2.26	0.8	0.99	2.2	5	9	210	4	325	1.824								
29842	SFJENAU	Nausta	04.04.2017 07:30	29.021	5.63	2.01	<0.3	0.46	1.6	<1	3	46	<2	112	0.949								
29842	SFJENAU	Nausta	09.05.2017 08:00	23.94	6.27	1.69	<0.3	0.59	1.5	1	3	25	4	85	0.889	0.026	0.048	0.006	0.13	0.85	0.075	0.033	
29842	SFJENAU	Nausta	13.06.2017 11:00	23.662	6.21	1.14	0.58	0.98	1.4	2	4	29	<2	95	0.688								
29842	SFJENAU	Nausta	03.07.2017 11:50	24.044	6.24	1.04	0.47	0.67	2.4	<1	5	18	<2	116									
29842	SFJENAU	Nausta	15.08.2017 08:30	22.476	6.33	1.12	<0.3	0.85	2.6	2	5	61	<2	160	0.765	0.032	0.071	0.004	0.23	0.72	0.1	0.066	
29842	SFJENAU	Nausta	19.09.2017 08:50	12.358	6.23	1.56	<0.3	0.35	2	2	5	150	<2	260	0.759								
29842	SFJENAU	Nausta	04.10.2017 06:30	29.51	6.18	1.51	1.2	3.75	4	11	9	<2	<2	160	1.054	0.066	0.244	0.005	0.39	1.6	0.18	0.1	
29842	SFJENAU	Nausta	06.11.2017 14:00	43.571	6.28	1.23	<0.3	0.51	2	2	4	85	<2	180	1.142								
29842	SFJENAU	Nausta	12.12.2017 11:00	32.12	6.1	1.9	<0.3	0.23	1.3	2	4	87	<2	170	1.254								
29842	SFJENAU	Nausta	09.01.2018 10:30	16.961	6.32	2.05	<0.3	0.35	1.2	2	3	130	6	230	1.849								
29842	SFJENAU	Nausta	08.02.2018 11:00	15.851	6.35	2.13	<0.3	<0.5	1.3	1	4	150	24	255	2.068	<0.025	0.034	0.004	0.18	1.2	0.082	0.044	
29842	SFJENAU	Nausta	01.03.2018 10:10	11.48	6.47	2.46	<0.3	0.33	1.4	1	4	160	<2	280	2.464								
29842	SFJENAU	Nausta	09.04.2018 10:15	10.658	6.51	2.31	0.54	0.88	2.5	3	8	320	<2	420	2.314								
29842	SFJENAU	Nausta	07.05.2018 11:00	32.28	6.08	1.03	0.36	1.36	1.5	8	5	44	<2	130	0.737	0.029	0.09	0.004	0.17	0.88	0.082	0.034	
29842	SFJENAU	Nausta	05.06.2018 08:45	27.271	6.41	0.88	<0.3	1.19	0.76	1	3	4	2	31	0.373								
29842	SFJENAU	Nausta	03.07.2018 09:05	17.745	6.48	1.12	<0.3	0.3	1.1	<1	3	4	3	49	0.133								
29842	SFJENAU	Nausta	06.08.2018 08:40	21.896	6.15	1.16	0.38	0.79	3.1	2	6	36	<2	130	1.005	0.045	0.086	0.004	0.25	0.74	0.12	0.047	
29842	SFJENAU	Nausta	11.09.2018 12:30	21.745	6.05	1.35	0.59	0.58	5	4	10	28	<2	200	1.326								
29842	SFJENAU	Nausta	02.10.2018 06:40	74.036	6.13	1.23	0.44	0.58	1.7	2	5	71	<2	140	0.941	0.05	0.06	0.005	0.22	0.85	0.1	0.048	
